iso3,dcha_count,attrib_count,total
FSM,4,6,14
ATG,4,9,16
VUT,3,7,11
PNG,2,4,15
SYC,2,5,12
MUS,2,4,5
BWA,2,5,11
BTN,2,3,3
NPL,2,4,6
SUR,2,4,10
FJI,2,5,15
SLE,2,6,12
PLW,2,6,15
MCO,2,3,5
JPN,1,1,3
DJI,1,1,4
TGO,1,2,6
KWT,1,3,6
IRL,1,1,6
SWZ,1,2,7
NLD,1,1,1
ISL,1,4,9
PHL,1,1,5
DNK,1,1,5
SGP,1,4,15
GNB,1,1,1
KHM,1,2,4
SSD,1,1,1
GMB,1,1,8
THA,1,4,7
PAK,1,2,5
SLB,1,4,13
COM,1,2,2
AGO,1,2,2
TZA,1,4,8
BRB,1,2,11
VAT,1,3,5
BGR,1,3,6
USA,1,2,8
MOZ,1,1,2
BEL,1,2,3
NER,1,3,7
VEN,1,1,2
BLZ,1,2,11
BOL,1,2,3
BFA,1,2,5
WSM,1,4,13
BRN,1,3,5
MWI,1,1,6
MDA,1,1,3
LCA,1,4,9
CIV,1,3,6
CMR,1,1,2
MNE,0,1,4
PER,0,2,2
MLT,0,1,3
MLI,0,0,2
PAN,0,0,1
POL,0,1,4
NZL,0,0,3
MNG,0,4,10
OMN,0,0,1
NRU,0,3,10
MRT,0,0,7
NOR,0,0,5
MYS,0,0,2
NAM,0,3,6
NIC,0,3,7
NGA,0,1,4
SLV,0,0,2
PRK,0,1,3
UGA,0,1,4
TLS,0,2,5
TON,0,4,8
TTO,0,2,6
TUN,0,2,4
TUR,0,2,6
TUV,0,2,15
URY,0,1,2
PRT,0,3,9
UZB,0,1,1
VCT,0,2,12
VNM,0,4,14
YEM,0,2,3
ZAF,0,0,1
ZMB,0,4,7
TJK,0,2,3
TCD,0,0,4
SYR,0,1,1
SWE,0,0,5
SVN,0,1,3
SVK,0,1,4
STP,0,0,4
SRB,0,0,4
SMR,0,5,8
MHL,0,3,10
SEN,0,1,5
SAU,0,1,4
RWA,0,1,3
RUS,0,0,2
ROU,0,1,3
QAT,0,1,1
PRY,0,0,1
MKD,0,1,3
LBY,0,0,2
MEX,0,0,2
CZE,0,0,3
COD,0,2,6
COG,0,0,2
COL,0,1,2
CPV,0,1,8
CRI,0,1,7
CUB,0,1,2
CYP,0,2,5
DEU,0,0,4
MDV,0,1,3
DMA,0,1,6
DOM,0,1,1
ECU,0,0,2
EGY,0,1,3
ERI,0,1,1
ESP,0,2,7
EST,0,1,2
CHN,0,0,3
CHL,0,2,7
CHE,0,0,2
CAN,0,1,7
ARE,0,0,2
ARG,0,0,1
ARM,0,0,1
AUS,0,0,4
AUT,0,0,1
AZE,0,0,1
BDI,0,2,4
BEN,0,1,2
BGD,0,2,4
BHR,0,0,6
BHS,0,0,3
BIH,0,1,2
BLR,0,2,3
BRA,0,3,4
CAF,0,0,2
FIN,0,3,5
FRA,0,0,5
GAB,0,1,2
KEN,0,3,7
KIR,0,1,10
KNA,0,2,9
KOR,0,1,5
LAO,0,4,6
LBN,0,0,1
LBR,0,1,4
AND,0,1,6
LIE,0,0,3
LKA,0,3,4
LSO,0,3,9
LTU,0,1,3
LUX,0,0,3
LVA,0,0,1
MAR,0,0,3
MDG,0,1,4
KGZ,0,1,3
KAZ,0,1,1
GBR,0,2,6
JOR,0,1,4
GEO,0,0,3
GHA,0,0,1
GIN,0,1,1
GNQ,0,3,5
GRD,0,2,7
GTM,0,0,1
GUY,0,5,7
HND,0,2,3
HRV,0,0,4
IDN,0,1,1
IND,0,0,3
IRQ,0,1,4
ISR,0,0,1
ITA,0,2,6
JAM,0,0,9
ZWE,0,1,4
